subject,accuracy,precision,recall,f1_macro,roc_auc
S10,0.8,0.5583673469387755,0.6356837606837606,0.5932282003710575,0.835226683265899
S11,0.8947368421052632,0.873015873015873,0.9333333333333332,0.8845315904139434,0.9910459910459911
S13,0.8266666666666667,0.8046783625730994,0.7086247086247086,0.729330100318547,0.9553469425684885
S14,0.68,0.75,0.7653846153846153,0.6851574212893553,0.8308967650324922
S15,0.7866666666666666,0.725378787878788,0.6677814938684504,0.6834659593280282,0.9373592314218775
S16,0.8356164383561644,0.5490196078431372,0.6666666666666666,0.5952380952380952,0.9990892531876138
S17,0.8266666666666667,0.5794444444444444,0.6527777777777778,0.6115792759051186,0.8918366491895903
S2,0.7323943661971831,0.5225127087872186,0.5626566416040101,0.5312738367658276,0.8412151719823443
S3,0.726027397260274,0.8660714285714285,0.5774751564225248,0.5731882898736202,0.874579221947643
S4,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426,0.7747125967714202
S5,0.9178082191780822,0.9345238095238096,0.8527777777777779,0.8737983169305377,0.9769374068554396
S6,0.9452054794520548,0.950990990990991,0.9465811965811967,0.946686790983008,0.9976461447049682
S7,0.9452054794520548,0.961038961038961,0.8974358974358975,0.9192963223970976,0.9903217697335345
S8,0.7567567567567568,0.7999999999999999,0.8283166109253065,0.7545219638242893,0.9042536394570054
S9,0.8055555555555556,0.52071638599305,0.6349206349206349,0.5704065040650407,0.9540104775398892
