subject,boost_forest_v2_accuracy,xgboost_accuracy,random_forest_accuracy,boost_forest_v2_f1,xgboost_f1,random_forest_f1,base_model_agreement_rate
S10,0.8,0.8,0.7466666666666667,0.5932282003710575,0.5932282003710575,0.558115719406042,0.8933333333333333
S11,0.8947368421052632,0.881578947368421,0.9342105263157895,0.8845315904139434,0.8720321931589536,0.8879551820728291,0.8157894736842105
S13,0.8266666666666667,0.88,0.8,0.729330100318547,0.8346445041801278,0.6041986687147977,0.8533333333333334
S14,0.68,0.6533333333333333,0.56,0.6851574212893553,0.6620945479641132,0.521897685832112,0.7866666666666666
S15,0.7866666666666666,0.8,0.7733333333333333,0.6834659593280282,0.7091631882329557,0.6641852770885028,0.88
S16,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.5952380952380952,0.5952380952380952,0.5952380952380952,1.0
S17,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.6115792759051186,0.6115792759051186,0.6151300236406619,0.9866666666666667
S2,0.7323943661971831,0.7183098591549296,0.6619718309859155,0.5312738367658276,0.5166666666666667,0.45896464646464646,0.8732394366197183
S3,0.726027397260274,0.7123287671232876,0.7397260273972602,0.5731882898736202,0.5152329749103942,0.5485663082437275,0.9452054794520548
S4,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.23423423423423426,0.23423423423423426,0.23423423423423426,1.0
S5,0.9178082191780822,0.9041095890410958,0.8493150684931506,0.8737983169305377,0.843643219040886,0.8216216216216217,0.863013698630137
S6,0.9452054794520548,0.9178082191780822,0.8767123287671232,0.946686790983008,0.9244666139076078,0.8089481770912829,0.8767123287671232
S7,0.9452054794520548,0.9452054794520548,0.9315068493150684,0.9192963223970976,0.9192963223970976,0.9172054998141954,0.958904109589041
S8,0.7567567567567568,0.7567567567567568,0.6756756756756757,0.7545219638242893,0.7545219638242893,0.6807356555640308,0.918918918918919
S9,0.8055555555555556,0.8055555555555556,0.7638888888888888,0.5704065040650407,0.5704065040650407,0.5460162601626016,0.8888888888888888
