subject,alpha_baseline_xgb,alpha_stress_xgb,alpha_amusement_xgb,inner_oof_f1_macro,inner_oof_accuracy
S10,0.8,0.8,0.5,0.7457054163807723,0.8155339805825242
S11,0.9,0.30000000000000004,1.0,0.6886361064712267,0.7813411078717201
S13,0.7000000000000001,0.8,0.5,0.7199635214651857,0.7951456310679612
S14,0.1,0.30000000000000004,0.30000000000000004,0.7430502463290954,0.8097087378640777
S15,0.6000000000000001,1.0,0.7000000000000001,0.7134326964363263,0.7941747572815534
S16,0.9,0.9,1.0,0.7150373883463034,0.7887596899224806
S17,1.0,0.7000000000000001,0.30000000000000004,0.7264199495202535,0.8029126213592233
S2,0.9,0.30000000000000004,1.0,0.72629083025,0.7949709864603481
S3,0.5,0.0,1.0,0.7049501268384125,0.7839147286821705
S4,0.0,1.0,0.9,0.7299524993554422,0.8034849951597289
S5,0.7000000000000001,0.0,0.9,0.6988245780355226,0.7790697674418605
S6,0.5,0.2,1.0,0.71006372084516,0.7839147286821705
S7,1.0,0.7000000000000001,1.0,0.7029327479351402,0.7858527131782945
S8,0.9,0.30000000000000004,1.0,0.7143568084124342,0.7992240543161979
S9,1.0,0.8,0.6000000000000001,0.7032923241833106,0.7909002904162633
