metric,comparison,n_subjects,boost_forest_v2_mean,xgboost_mean,mean_difference_boost_minus_other,boost_wins,boost_losses,ties,wilcoxon_statistic,p_value,significant_0.05,rank_biserial_effect_size,random_forest_mean
accuracy,boost_forest_v2_vs_xgboost,15,0.8013982133986703,0.7985957519102009,0.002802461488469395,6,2,7,10.0,0.2620327985527309,False,0.4444444444444444,
precision,boost_forest_v2_vs_xgboost,15,0.7050876175436754,0.6816740603077787,0.02341355723589682,6,2,7,12.0,0.40081416938293446,False,0.3333333333333333,
recall,boost_forest_v2_vs_xgboost,15,0.7109166403559996,0.7125113322138492,-0.0015946918578497505,6,2,7,13.5,0.5281061253470647,False,0.25,
f1_macro,boost_forest_v2_vs_xgboost,15,0.6790624601291867,0.6770965669397758,0.001965893189410828,6,2,7,13.0,0.4838398513935682,False,0.2777777777777778,
roc_auc,boost_forest_v2_vs_xgboost,15,0.9169651963136131,0.9160315022785492,0.0009336940350640107,5,9,1,41.0,0.4703377962613965,False,-0.21904761904761905,
accuracy,boost_forest_v2_vs_random_forest,15,0.8013982133986703,,0.03360108223011237,10,2,3,7.0,0.012030358470209074,True,0.8205128205128205,0.7677971311685581
precision,boost_forest_v2_vs_random_forest,15,0.7050876175436754,,0.05960829718487592,9,4,2,20.0,0.07473549830588254,False,0.5604395604395604,0.6454793203587995
recall,boost_forest_v2_vs_random_forest,15,0.7109166403559996,,0.04918507418507419,10,2,3,5.0,0.007649082055293921,True,0.8717948717948718,0.6617315661709253
f1_macro,boost_forest_v2_vs_random_forest,15,0.6790624601291867,,0.048194923116561275,11,2,2,5.0,0.004649433819808542,True,0.8901098901098901,0.6308675370126253
roc_auc,boost_forest_v2_vs_random_forest,15,0.9169651963136131,,0.0016374470973183084,10,5,0,43.0,0.359130859375,False,0.2833333333333333,0.9153277492162949
