subject,accuracy,precision,recall,f1_macro,roc_auc
S10,0.64,0.6135531135531136,0.6324786324786325,0.6067842605156039,0.807624474291141
S11,0.6052631578947368,0.5350011268875366,0.5288182831661093,0.5228327228327229,0.6746881931151826
S13,0.4,0.46376068376068375,0.4524475524475524,0.3881766381766382,0.5996443676023713
S14,0.52,0.5285714285714286,0.5384615384615384,0.5018761726078799,0.7169300500676034
S15,0.3333333333333333,0.4398148148148148,0.35042735042735046,0.19392383397518187,0.54893452088403
S16,0.6575342465753424,0.6199813258636787,0.6313131313131314,0.6188382712116386,0.7856991396046361
S17,0.6,0.5553574965339672,0.5694444444444444,0.5574479426953189,0.7148034427446192
S2,0.5352112676056338,0.469785575048733,0.43274853801169594,0.44984255510571297,0.6024960191953947
S3,0.5342465753424658,0.4917328042328042,0.4966261808367071,0.4926923716017541,0.6452780621511272
S4,0.6805555555555556,0.6451023391812866,0.6294261294261294,0.6273078273078273,0.7914531274825393
S5,0.4931506849315068,0.5380512358199985,0.4714285714285715,0.48835298949715417,0.6986265101019201
S6,0.6164383561643836,0.5170954205436965,0.5353535353535354,0.51994851994852,0.6655367561828506
S7,0.2876712328767123,0.0958904109589041,0.3333333333333333,0.14893617021276595,0.7167995403289521
S8,0.5540540540540541,0.5146198830409358,0.5105908584169454,0.5063918757467144,0.7203490390294284
S9,0.5416666666666666,0.483047385620915,0.4816849816849817,0.4636665613662254,0.6982050629109452
