feature,importance,sensor
ECG_std,0.07603810793343062,ECG
Resp_zcr,0.06464017048489844,Resp
ECG_psd_mean,0.05657887757981109,ECG
EDA_psd_mean,0.05488941757060907,EDA
Resp_skew,0.05351793086330598,Resp
EDA_std,0.04382616768758784,EDA
ECG_kurtosis,0.04199561143329893,ECG
EDA_mean,0.03294644826993331,EDA
ECG_skew,0.03274152924472133,ECG
Temp_max,0.03099391071845595,Temp
ECG_zcr,0.030362464436805514,ECG
EDA_max,0.03006428222548246,EDA
Temp_min,0.030041264307978145,Temp
EDA_min,0.029577667127352953,EDA
Temp_mean,0.027934129005855474,Temp
Resp_std,0.025236142068162125,Resp
Resp_max,0.0248064850413695,Resp
EMG_zcr,0.02334391928577595,EMG
EMG_std,0.02322336762044801,EMG
EMG_psd_mean,0.022396736160172334,EMG
EMG_peak_freq,0.019917225861602723,EMG
Temp_psd_mean,0.01873767567368753,Temp
ECG_max,0.018447910588961062,ECG
Resp_kurtosis,0.01825183096682841,Resp
Resp_psd_mean,0.017693217425222826,Resp
Resp_min,0.01544549863872499,Resp
EMG_kurtosis,0.014280852384335529,EMG
ECG_min,0.012943317733180616,ECG
EMG_min,0.012785312856906806,EMG
EDA_kurtosis,0.012553993924844905,EDA
EMG_max,0.011468827357982424,EMG
EMG_skew,0.011462369829580423,EMG
Temp_skew,0.010694952238123076,Temp
ECG_peak_freq,0.010371311886902424,ECG
Temp_std,0.008138193105062431,Temp
Temp_kurtosis,0.00719753465998711,Temp
EDA_skew,0.005760883432819596,EDA
Temp_peak_freq,0.004958129949130968,Temp
Resp_mean,0.004343216985153662,Resp
ECG_mean,0.00412463951796399,ECG
EMG_mean,0.003144869830127451,EMG
EDA_peak_freq,0.002079173398309503,EDA
Temp_zcr,4.443268910645748e-05,Temp
Resp_peak_freq,0.0,Resp
EDA_zcr,0.0,EDA
