subject,accuracy,precision,recall,f1_macro,roc_auc
S2,0.647887323943662,0.42023809523809524,0.4674185463659148,0.4290780141843971,0.702535743570534
S3,0.7397260273972602,0.539057239057239,0.5821371610845295,0.5485663082437275,0.8680281019290307
S4,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426,0.9427499243675714
S5,0.8356164383561644,0.7842016806722688,0.8222222222222223,0.79776431950345,0.9652011922503726
S6,0.8767123287671232,0.9191919191919192,0.7884615384615384,0.8121077661027742,0.9742267268786073
S7,0.9178082191780822,0.9271255060728745,0.8803418803418803,0.890945933499125,0.974459527400704
S8,0.6891891891891891,0.7684407096171801,0.7855815681902638,0.6953341511062651,0.9299832861543941
S9,0.7638888888888888,0.49746057203956157,0.6092796092796093,0.5460162601626016,0.9150465003406177
S10,0.7733333333333333,0.7435897435897436,0.6442307692307693,0.6659221537270318,0.9522792022792023
S11,0.881578947368421,0.8583333333333334,0.7865384615384615,0.7897467725918569,0.9739519739519741
S13,0.8,0.5802469135802469,0.6363636363636364,0.6011482607227289,0.8986525079708283
S14,0.5466666666666666,0.5170562770562771,0.5089743589743589,0.49699633699633705,0.8085251926000557
S15,0.7466666666666667,0.7280701754385964,0.5908584169453734,0.5887820512820513,0.8495386187064541
S16,0.8356164383561644,0.5472222222222222,0.6666666666666666,0.5957805907172996,0.913023679417122
S17,0.8266666666666667,0.5882352941176471,0.6527777777777778,0.6151300236406619,0.8811189718052463
