feature,importance,sensor
Resp_zcr,10.328350067138672,Resp
Resp_skew,7.445842742919922,Resp
ECG_std,6.804043292999268,ECG
EMG_psd_mean,5.751433849334717,EMG
EDA_psd_mean,4.38075065612793,EDA
ECG_psd_mean,3.554941177368164,ECG
ECG_skew,3.1957554817199707,ECG
Resp_kurtosis,2.9955599308013916,Resp
Temp_max,2.804593086242676,Temp
ECG_peak_freq,2.7493860721588135,ECG
EDA_std,2.6702446937561035,EDA
ECG_kurtosis,2.4775867462158203,ECG
Temp_min,2.147716760635376,Temp
Temp_mean,2.0482141971588135,Temp
EDA_mean,1.8904800415039062,EDA
Resp_max,1.742362380027771,Resp
Resp_min,1.6989151239395142,Resp
EDA_max,1.69184410572052,EDA
EMG_min,1.659450650215149,EMG
Temp_std,1.6424990892410278,Temp
ECG_zcr,1.5538578033447266,ECG
Temp_skew,1.4395654201507568,Temp
Temp_psd_mean,1.3896639347076416,Temp
EMG_zcr,1.2390180826187134,EMG
EMG_kurtosis,1.0562559366226196,EMG
EMG_peak_freq,1.0354284048080444,EMG
Resp_std,1.0210446119308472,Resp
ECG_max,0.9636273384094238,ECG
EDA_kurtosis,0.941855251789093,EDA
EMG_std,0.9149032831192017,EMG
EMG_max,0.9038771986961365,EMG
ECG_mean,0.8405730724334717,ECG
EDA_min,0.7964064478874207,EDA
Resp_psd_mean,0.6764248609542847,Resp
EMG_skew,0.5785865187644958,EMG
ECG_min,0.5044707655906677,ECG
Temp_peak_freq,0.427613228559494,Temp
Temp_kurtosis,0.31364116072654724,Temp
EDA_skew,0.13179269433021545,EDA
EMG_mean,0.10020159929990768,EMG
Resp_mean,0.08765416592359543,Resp
Resp_peak_freq,0.0,Resp
EDA_peak_freq,0.0,EDA
EDA_zcr,0.0,EDA
Temp_zcr,0.0,Temp
